trade_code,industry
000988.SZ,其他电子Ⅱ
000989.SZ,中药Ⅱ
000990.SZ,化学制药
000993.SZ,电力
000995.SZ,饮料制造
000996.SZ,多元金融Ⅱ
000997.SZ,计算机设备Ⅱ
000998.SZ,种植业
000999.SZ,中药Ⅱ
001696.SZ,汽车零部件Ⅱ
001896.SZ,电力
002001.SZ,化学制药
002002.SZ,塑料Ⅱ
002003.SZ,纺织制造
002004.SZ,化学制品
002005.SZ,光学光电子
002006.SZ,专用设备
002007.SZ,生物制品Ⅱ
002008.SZ,其他电子Ⅱ
002009.SZ,专用设备
002010.SZ,化学制品
002011.SZ,白色家电
002012.SZ,造纸Ⅱ
002013.SZ,航空装备Ⅱ
002014.SZ,包装印刷Ⅱ
002015.SZ,化学纤维
002016.SZ,房地产开发Ⅱ
002017.SZ,通信设备
002018.SZ,化学制品
002019.SZ,化学制药
002020.SZ,化学制药
002021.SZ,专用设备
002022.SZ,生物制品Ⅱ
002023.SZ,航空装备Ⅱ
002024.SZ,专业零售
002025.SZ,电子制造Ⅱ
002026.SZ,通用机械
002027.SZ,计算机设备Ⅱ
002028.SZ,电气自动化设备
002029.SZ,服装家纺
002030.SZ,生物制品Ⅱ
002031.SZ,通用机械
002032.SZ,白色家电
002033.SZ,旅游综合Ⅱ
002034.SZ,纺织制造
002035.SZ,白色家电
002036.SZ,纺织制造
002037.SZ,化学制品
002038.SZ,生物制品Ⅱ
002039.SZ,电力
002040.SZ,港口Ⅱ
002041.SZ,种植业
002042.SZ,纺织制造
002043.SZ,其他建材Ⅱ
002044.SZ,服装家纺
002045.SZ,电子制造Ⅱ
002046.SZ,通用机械
002047.SZ,装修装饰Ⅱ
002048.SZ,汽车零部件Ⅱ
002049.SZ,半导体
002050.SZ,白色家电
002051.SZ,专业工程
002052.SZ,视听器材
002053.SZ,化学原料
002054.SZ,化学制品
002055.SZ,电子制造Ⅱ
002056.SZ,其他电子Ⅱ
002057.SZ,金属非金属新材料
002058.SZ,电气自动化设备
002059.SZ,旅游综合Ⅱ
002060.SZ,基础建设
002061.SZ,化学制品
002062.SZ,基础建设
002063.SZ,计算机应用
002064.SZ,化学纤维
002065.SZ,计算机应用
002066.SZ,其他建材Ⅱ
002067.SZ,造纸Ⅱ
002068.SZ,橡胶
002069.SZ,渔业
002070.SZ,纺织制造
002071.SZ,家用轻工
002072.SZ,纺织制造
002073.SZ,专用设备
002074.SZ,高低压设备
002075.SZ,钢铁Ⅱ
002076.SZ,其他电子Ⅱ
002077.SZ,房地产开发Ⅱ
002078.SZ,造纸Ⅱ
002079.SZ,半导体
002080.SZ,化学制品
002081.SZ,装修装饰Ⅱ
002082.SZ,其他建材Ⅱ
002083.SZ,纺织制造
002084.SZ,家用轻工
002085.SZ,汽车零部件Ⅱ
002086.SZ,渔业
002087.SZ,纺织制造
002088.SZ,其他建材Ⅱ
002089.SZ,通信设备
002090.SZ,电气自动化设备
002091.SZ,贸易Ⅱ
002092.SZ,化学原料
002093.SZ,通信设备
002094.SZ,家用轻工
002095.SZ,互联网传媒
002096.SZ,化学制品
002097.SZ,专用设备
002098.SZ,纺织制造
002099.SZ,化学制药
002100.SZ,动物保健Ⅱ
002101.SZ,汽车零部件Ⅱ
002102.SZ,贸易Ⅱ
002103.SZ,包装印刷Ⅱ
002104.SZ,通信设备
002105.SZ,其他交运设备Ⅱ
002106.SZ,光学光电子
002107.SZ,中药Ⅱ
002108.SZ,塑料Ⅱ
002109.SZ,化学制品
002110.SZ,钢铁Ⅱ
002111.SZ,专用设备
002112.SZ,高低压设备
002113.SZ,综合Ⅱ
002114.SZ,工业金属
002115.SZ,通信设备
002116.SZ,基础建设
002117.SZ,包装印刷Ⅱ
002118.SZ,中药Ⅱ
002119.SZ,半导体
002120.SZ,家用轻工
002121.SZ,电气自动化设备
002122.SZ,通用机械
002123.SZ,电气自动化设备
