"datetime","cap","return","cash","stockcap","IFcap","lowestcap","return2","net value"
"2013-02-27",112686485.782446,3.07047522141168e-06,26415948.782446,86270537,-73746600,111487211.782446,NA,3.7562161927482
"2013-02-28",111857433.782446,-0.00735715551198024,23828148.782446,88029285,-76334400,109629782.782446,NA,3.72858112608153
"2013-03-01",112543010.782446,0.00612902492768952,24164448.782446,88378562,-75998100,110840002.782446,0.0237975156733961,3.7514336927482
"2013-03-04",111611107.629796,-0.00828041782578071,26147435.629796,85463672,-75675600,110884366.629796,NA,3.72037025432653
"2013-03-05",111059388.629796,-0.00494322663502278,24127835.629796,86931553,-77695200,108355956.629796,NA,3.7019796209932
"2013-03-06",110645644.629796,-0.00372543019644356,23177435.629796,87468209,-78645600,109225153.629796,NA,3.68818815432653
"2013-03-07",111321517.629796,0.00610844649386211,24139715.629796,87181802,-77683320,109606257.629796,NA,3.71071725432653
"2013-03-08",110835723.629796,-0.00436388229646245,24258515.629796,86577208,-77564520,109934739.629796,NA,3.6945241209932
"2013-03-11",111809456.629796,0.00878537143179914,24822815.629796,86986641,-77000220,110292794.629796,NA,3.72698188765987
"2013-03-12",111483964.629796,-0.00291113122101749,26004875.629796,85479089,-75818160,110059281.629796,NA,3.71613215432653
"2013-03-13",111361427.885796,-0.00109914232425179,26860834.885796,84500593,-76008000,110448258.885796,NA,3.7120475961932
"2013-03-14",111820061.885796,0.00411842779593607,26998834.885796,84821227,-75870000,110317880.885796,NA,3.7273353961932
"2013-03-15",111974705.885796,0.00138297186919778,26866834.885796,85107871,-76002000,110369988.885796,NA,3.7324901961932
"2013-03-18",111228617.885796,-0.00666300477503345,27544834.885796,83683783,-75324000,110564395.885796,NA,3.7076205961932
"2013-03-19",111850486.885796,0.00559090827361097,26974834.885796,84875652,-75894000,109951918.885796,NA,3.72834956285987
"2013-03-20",111872781.885796,0.000199328591414805,24568834.885796,87303947,-78300000,109045639.885796,NA,3.72909272952653
"2013-03-21",112215765.885796,0.00306583955648954,24358834.885796,87856931,-78510000,110832264.885796,NA,3.74052552952653
"2013-03-22",112215189.885796,-5.13296857573842e-06,24094834.885796,88120355,-78774000,110954991.885796,NA,3.74050632952653
"2013-03-25",111944705.885796,-0.00241040451186048,24190834.885796,87753871,-78678000,111120848.885796,NA,3.7314901961932
"2013-03-26",112052241.885796,0.000960617111359419,25696834.885796,86355407,-77172000,110976834.885796,NA,3.73507472952653
"2013-03-27",112417563.885796,0.00326028282747193,25660834.885796,86756729,-77208000,111101985.885796,NA,3.74725212952653
