"datetime","cap","return","cash","stockcap","IFcap","lowestcap","return2","net_value","position"
"2007-04-02",37681595.41928,-0.00612932901533192,6851722.41927999,30829873,-27361027.2,36851511.41928,NA,1.25605318064267,1
"2007-04-03",38001661.61928,0.00849396625696586,6486845.61928,31514816,-27725904,37135026.61928,NA,1.266722053976,1
"2007-04-04",38152754.01928,0.00397594193416384,6259268.01927999,31893486,-27953481.6,37328381.01928,NA,1.27175846730933,1
"2007-04-05",38453583.61928,0.00788487247468384,5940317.61927999,32513266,-28272432,37526961.61928,NA,1.28178612064267,1
"2007-04-06",38919267.81928,0.0121102939224242,5681472.81927999,33237795,-28531276.8,37652197.81928,NA,1.29730892730933,1
"2007-04-09",38964240.41928,0.00115553561307524,5046298.41927999,33917942,-29166451.2,38084100.41928,NA,1.298808013976,1
"2007-04-10",38422985.81928,-0.0138910599610247,4629696.81927999,33793289,-29583052.8,37235916.81928,NA,1.280766193976,1
"2007-04-11",38219559.21928,-0.00529439853937441,4248087.21927999,33971472,-29964662.4,37318454.21928,NA,1.27398530730933,1
"2007-04-12",38856021.41928,0.0166527875517448,3718954.41927999,35137067,-30493795.2,37449649.41928,NA,1.295200713976,1
"2007-04-13",39040395.81928,0.00474506635690997,3788112.81927999,35252283,-30424636.8,38380002.81928,NA,1.30134652730933,1
"2007-04-16",38974013.81928,-0.00170034136711328,2955168.81927999,36018845,-31257580.8,38027071.81928,NA,1.299133793976,1
"2007-04-17",39336142.21928,0.00929153465381227,2690151.21927999,36645991,-31522598.4,37956877.21928,NA,1.31120474064267,1
"2007-04-18",40411003.01928,0.0273250181476405,2489540.01927999,37921463,-31723209.6,38681729.01928,NA,1.347033433976,1
"2007-04-19",40621888.81928,0.00521852426922931,3969840.81927999,36652048,-30242908.8,39479669.81928,NA,1.35406296064267,1
"2007-04-20",41049879.41928,0.0105359601052539,2635642.41927999,38414237,-31577107.2,39399398.41928,NA,1.368329313976,1
"2007-04-23",41674588.81928,0.01521830048803,1272096.81927999,40402492,-32940652.8,40100135.81928,NA,1.38915296064267,1
"2007-04-24",42238054.01928,0.0135205941069616,1138868.01927999,41099186,-33073881.6,40927146.01928,NA,1.407935133976,1
"2007-04-25",42321757.01928,0.00198169640963552,1109252.01927999,41212505,-33103497.6,40712526.01928,NA,1.410725233976,1
"2007-04-26",42508017.01928,0.00440104601316871,674372.01927999,41833645,-33538377.6,41387372.01928,NA,1.41693390064267,1
"2007-04-27",42376894.81928,-0.00308464636072114,895728.819279991,41481166,-33317020.8,41379446.81928,NA,1.41256316064267,1
"2007-04-30",42404337.21928,0.000647579302755164,49143.2192799933,42355194,-34163606.4,40922968.21928,0.125332851421243,1.41347790730933,1
"2007-05-08",42342205.95314,-0.00146521016986323,6781989.95313999,35560216,-32068461,41005951.95314,NA,1.41140686510467,1
"2007-05-09",41463615.05314,-0.0207497668159362,6649341.05313999,34814274,-32201109.9,39905573.05314,NA,1.38212050177133,1
"2007-05-10",41633403.95314,0.00409488897150911,6447213.95313999,35186190,-32403237,40292137.95314,NA,1.38778013177133,1
"2007-05-11",41783582.55314,0.00360716601911859,6637726.55313999,35145856,-32212724.4,40680688.55314,NA,1.39278608510467,1
"2007-05-14",42069124.95314,0.00683384196740078,6360996.95313999,35708128,-32489454,40816428.95314,NA,1.40230416510467,1
"2007-05-15",42635775.75314,0.0134695171490062,7490117.75313999,35145658,-31360333.2,41866427.75314,NA,1.42119252510467,1
"2007-05-16",43011222.05314,0.00880589817747945,6657954.05313999,36353268,-32192496.9,41041554.05314,NA,1.43370740177133,1
"2007-05-17",42938116.45314,-0.00169968665176912,5976587.45313999,36961529,-32873863.5,41879584.45314,NA,1.431270548438,1
"2007-05-18",43481849.65314,0.0126631823869918,5993778.65314,37488071,-32856672.3,42273210.65314,NA,1.449394988438,1
"2007-05-21",44507832.85314,0.0235956659660155,5516896.85313999,38990936,-33333554.1,41342892.85314,NA,1.483594428438,1
"2007-05-22",44536635.65314,0.000647140023533499,5177196.65314,39359439,-33673254.3,43773099.65314,NA,1.48455452177133,1
"2007-05-23",45022650.45314,0.0109126967691313,4581629.45313999,40441021,-34268821.5,43379694.45314,NA,1.50075501510467,1
"2007-05-24",44894338.35314,-0.00284994549873407,4748643.35313999,40145695,-34101807.6,43468218.35314,NA,1.49647794510467,1
"2007-05-25",45001898.55314,0.0023958522153491,4178758.55313999,40823140,-34671692.4,43590745.55314,NA,1.50006328510467,1
"2007-05-28",45221253.35314,0.00487434546213583,3419022.35313999,41802231,-35431428.6,43986474.35314,NA,1.50737511177133,1
"2007-05-29",45137628.65314,-0.00184923445944674,2586336.65314,42551292,-36264114.3,43498502.65314,NA,1.50458762177133,1
"2007-05-30",44226540.65314,-0.0201846669217218,5038257.65314,39188283,-33812193.3,43973448.65314,NA,1.47421802177133,1
"2007-05-31",43524059.55314,-0.0158836999147057,4677268.55313999,38846791,-34173182.4,41113031.55314,0.0279119515243951,1.45080198510467,1
"2007-06-01",42175719.00049,-0.0309792001594835,9177486.00048998,32998233,-29670841.2,41743928.00049,NA,1.40585730001633,1
"2007-06-04",41639053.40049,-0.0127245157336561,11459165.40049,30179888,-27389161.8,41445756.40049,NA,1.387968446683,1
"2007-06-05",41971445.80049,0.00798270788730493,10498189.80049,31473256,-28350137.4,38085692.80049,NA,1.39904819334967,1
"2007-06-06",42163628.20049,0.00457888443761334,10163203.20049,32000425,-28685124,40589300.20049,NA,1.40545427334967,1
"2007-06-07",42471376.00049,0.0072988927455826,9190356.00048998,33281020,-29657971.2,40930320.00049,NA,1.41571253334967,1
"2007-06-08",42710589.60049,0.00563234871404328,8912964.60048999,33797625,-29935362.6,41671586.60049,NA,1.42368632001633,1
"2007-06-11",43166395.60049,0.0106719669352158,8179803.60048999,34986592,-30668523.6,41600062.60049,NA,1.43887985334967,1
"2007-06-12",43624643.00049,0.0106158365465843,7366677.00048999,36257966,-31481650.2,41249350.00049,NA,1.454154766683,1
"2007-06-13",43619241.80049,-0.000123810755309428,6725836.80048999,36893405,-32122490.4,42615954.80049,NA,1.453974726683,1
"2007-06-14",43605703.40049,-0.000310376784216637,7056923.40048999,36548780,-31791403.8,42673463.40049,NA,1.453523446683,1
"2007-06-15",43548582.40049,-0.00130994332267453,6873155.40048999,36675427,-31975171.8,42601404.40049,NA,1.45161941334967,1
"2007-06-18",43617698.00049,0.00158709184524941,5873289.00048998,37744409,-32975038.2,42538122.00049,NA,1.453923266683,1
"2007-06-19",43430898.20049,-0.00428266067590033,5674927.20048999,37755971,-33173400,42135625.20049,NA,1.447696606683,1
"2007-06-20",43823062.00049,0.0090296037210571,6419055.00048998,37404007,-32429272.2,43093999.00049,NA,1.46076873334967,1
"2007-06-21",43705713.20049,-0.00267778641297778,6109543.20048999,37596170,-32738784,42506645.20049,NA,1.456857106683,1
"2007-06-22",43321221.40049,-0.00879728922935608,7247204.40048999,36074017,-31601122.8,42300451.40049,NA,1.44404071334967,1
"2007-06-25",42880307.20049,-0.0101777878311394,8603125.20048999,34277182,-30245202,42329473.20049,NA,1.42934357334967,1
"2007-06-26",43048576.80049,0.00392416964769526,8208265.80048999,34840311,-30640061.4,40949787.80049,NA,1.43495256001633,1
"2007-06-27",43013676.00049,-0.0008107306348768,7332552.00048999,35681124,-31515775.2,41739869.00049,NA,1.43378920001633,1
"2007-06-28",42593496.60049,-0.00976850711376565,8751855.60048999,33841641,-30096471.6,42289829.60049,NA,1.41978322001633,1
"2007-06-29",42250397.80049,-0.0080551921627412,9488518.80048998,32761879,-29359808.4,41362281.80049,0.00177065861044667,1.40834659334967,1
"2007-07-02",42064295.58949,-0.00440474458675599,8459260.58948998,33605035,-29309709,40779037.58949,NA,1.40214318631633,1
"2007-07-03",42004029.98949,-0.00143270199002354,7877598.98948998,34126431,-29891370.6,40919312.98949,NA,1.400134332983,1
"2007-07-04",42086313.98949,0.00195895489124731,8569029.98948999,33517284,-29199939.6,41658020.98949,NA,1.402877132983,1
"2007-07-05",41665175.58949,-0.0100065403709428,10176976.58949,31488199,-27591993,41362838.58949,NA,1.38883918631633,1
"2007-07-06",42025891.18949,0.00865748421545098,8828762.18948998,33197129,-28940207.4,39558802.18949,NA,1.40086303964967,1
"2007-07-09",42342514.98949,0.00753401750774008,7962813.98948998,34379701,-29806155.6,40961581.98949,NA,1.41141716631633,1
"2007-07-10",42020997.78949,-0.00759324759239743,8319125.78948998,33701872,-29449843.8,41422138.78949,NA,1.40069992631633,1
"2007-07-11",42027748.38949,0.000160648255755902,8207952.38948999,33819796,-29561017.2,41049252.38949,NA,1.40092494631633,1
"2007-07-12",42046353.78949,0.00044269323751478,7996985.78948999,34049368,-29771983.8,41340140.78949,NA,1.40154512631633,1
"2007-07-13",41905373.38949,-0.00335297563983394,7972002.38948999,33933371,-29796967.2,41209375.38949,NA,1.39684577964967,1
"2007-07-16",41964816.78949,0.00141851498249412,8924834.78948999,33039982,-28844134.8,41614432.78949,NA,1.39882722631633,1
"2007-07-17",42022417.78949,0.00137260220362556,8209691.78948999,33812726,-29559277.8,40600061.78949,NA,1.40074725964967,1
"2007-07-18",42177519.38949,0.00369092518133951,8069892.38948998,34107627,-29699077.2,41200624.38949,NA,1.405917312983,1
"2007-07-19",42210829.98949,0.000789771434692277,8074392.98948999,34136437,-29694576.6,41521745.98949,NA,1.40702766631633,1
"2007-07-20",42159275.38949,-0.00122135954239322,6788274.38948998,35371001,-30980695.2,40718318.38949,NA,1.40530917964967,1
"2007-07-23",42346060.18949,0.00443045565357503,5346530.18948998,36999530,-32422439.4,40676230.18949,NA,1.41153533964967,1
"2007-07-24",42163808.98949,-0.00430385257056898,5310423.98948998,36853385,-32458545.6,41680580.98949,NA,1.40546029964967,1
