"datetime","cap","return","cash","stockcap","IFcap","lowestcap","return2","beta","net_value","position"
"2007-01-09",32857769.81994,-0.000868111756633816,2871894.81994001,29985875,-25741006.2,31757109.81994,NA,0.858437721093682,1.095258993998,1
"2007-01-10",33060892.81994,0.00618188638830675,2218098.81994001,30842794,-26394802.2,31787143.81994,NA,0.855785056308452,1.10202976066467,1
"2007-01-11",33337376.71994,0.00836286852583856,2502841.71994,30834535,-26110059.3,32716712.71994,NA,0.846779732530424,1.11124589066467,1
"2007-01-12",32630027.11994,-0.0212179142330928,3180061.11994001,29449966,-25432839.9,32318242.11994,NA,0.863594881569642,1.08766757066467,1
"2007-01-15",32791486.61994,0.00494818773537986,1850999.61994,30940487,-26761901.4,31092727.61994,NA,0.864947646105247,1.093049553998,1
"2007-01-16",32932598.21994,0.00430329986668543,1072575.21994001,31860023,-27540325.8,31739432.21994,NA,0.864416381620315,1.097753273998,1
"2007-01-17",33533121.31994,0.0182349141112221,1598408.31994,31934713,-27014492.7,32469186.31994,NA,0.845928776626238,1.11777071066467,1
"2007-01-18",34107574.51994,0.0171309194428737,1502889.51994001,32604685,-27110011.5,32628993.51994,NA,0.831475951998923,1.13691915066467,1
"2007-01-19",34259436.91994,0.00445245380644765,578612.919940007,33680824,-28034288.1,32944254.91994,NA,0.832351610518792,1.14198123066467,1
"2007-01-22",35082900.91994,0.0240361218406573,-535461.080059997,35618362,-29148362.1,33288844.91994,NA,0.818352121301928,1.16943003066467,1
"2007-01-23",35485734.01994,0.0114823201456253,-732219.980059999,36217954,-29345121,33626742.01994,NA,0.810236851038024,1.18285780066467,1
"2007-01-24",35275999.41994,-0.00591039204324029,-1063306.58005999,36339306,-29676207.6,34378367.41994,NA,0.816642111987499,1.17586664733133,1
"2007-01-25",34626599.31994,-0.0184091198173941,-85221.6800599946,34711821,-28698122.7,34165042.31994,NA,0.826753592097632,1.15421997733133,1
"2007-01-26",34438025.61994,-0.00544592029548252,-788286.380059994,35226312,-29401187.4,32125993.61994,NA,0.834637114438775,1.14793418733133,1
"2007-01-29",35108638.11994,0.0194730240171408,-1537027.88005999,36645666,-30149928.9,33561226.11994,NA,0.822742009928268,1.17028793733133,1
"2007-01-30",35125744.21994,0.000487233368083428,-1244141.78005999,36369886,-29857042.8,34348658.21994,NA,0.82092758828004,1.17085814066467,1
"2007-01-31",35129051.51994,9.41560121627827e-05,704481.519940005,34424570,-27908419.5,34654103.51994,0.106669324063882,0.810712218046587,1.170968383998,1
"2007-02-01",34882161.28152,-0.0070280929241674,5019919.28152,29862242,-26586409.2,33649960.28152,NA,0.890301846726713,1.162738709384,1
"2007-02-02",35069453.18152,0.00536927452655367,6098495.18152,28970958,-25507833.3,34712169.18152,NA,0.880462195968804,1.16898177271733,1
"2007-02-05",35578465.78152,0.0145144150770002,6389381.78152,29189084,-25216946.7,34670691.78152,NA,0.863917028023216,1.185948859384,1
"2007-02-06",35761506.48152,0.0051447046964872,5898284.48152,29863222,-25708044,34281479.48152,NA,0.860859688884207,1.19205021605067,1
"2007-02-07",35622618.78152,-0.00388372061651754,5301692.78152,30320926,-26304635.7,34741267.78152,NA,0.867540645031751,1.18742062605067,1
"2007-02-08",35873852.38152,0.00705264263531169,4848657.38152,31025195,-26757671.1,34732587.38152,NA,0.862449731581059,1.195795079384,1
"2007-02-09",36160105.98152,0.00797944968261777,4996908.98152,31163197,-26609419.5,35287370.98152,NA,0.853873224239477,1.20533686605067,1
"2007-02-12",36055312.28152,-0.00289804736893062,4018477.28152001,32036835,-27587851.2,34909119.28152,NA,0.861129109663923,1.20184374271733,1
"2007-02-13",36181361.48152,0.0034959952368685,3605135.48152,32576226,-28001193,35312553.48152,NA,0.859559145985787,1.20604538271733,1
"2007-02-14",36299961.58152,0.00327793358634598,2875654.58152001,33424307,-28730673.9,35168278.58152,NA,0.8595742583384,1.209998719384,1
"2007-02-15",36476207.18152,0.00485525582731539,1984502.18152001,34491705,-29621826.3,35256982.18152,NA,0.85881014870097,1.21587357271733,1
"2007-02-16",36939042.98152,0.0126887041105106,1894569.98152,35044473,-29711758.5,36104219.98152,NA,0.847830084361663,1.23130143271733,1
"2007-02-26",37808247.88152,0.0235307909962599,1551124.88152,36257123,-30055203.6,35988054.88152,NA,0.828946179761698,1.260274929384,1
"2007-02-27",37259097.28152,-0.0145246244079038,4328167.28152,32930930,-27278161.2,37198380.28152,NA,0.828344696004638,1.241969909384,1
