"datetime","cap","return","cash","stockcap","IFcap","lowestcap","return2","net value"
"2008-01-08",44542480.42399,-0.0115511743892962,8225385.42399,36317095,-31509907.8,43967984.42399,NA,1.48474934746633
"2008-01-09",44929149.62399,0.00868090856906445,7736872.62399,37192277,-31998420.6,43501098.62399,NA,1.49763832079967
"2008-01-10",45003608.42399,0.0016572492607394,7404015.42399,37599593,-32331277.8,44168218.42399,NA,1.50012028079967
"2008-01-11",44652746.32399,-0.00779631039125672,7250155.32399,37402591,-32485137.9,43848177.32399,NA,1.48842487746633
"2008-01-14",45044500.32399,0.0087733461489139,7064278.32399001,37980222,-32671014.9,43818636.32399,NA,1.501483344133
"2008-01-15",45390809.22399,0.00768815055132399,7265528.22399,38125281,-32469765,44638459.22399,NA,1.513026974133
"2008-01-16",45918791.32399,0.0116319164391752,8352706.32399001,37566085,-31382586.9,45138470.32399,NA,1.53062637746633
"2008-01-17",45735658.42399,-0.00398819077592583,9151236.42399,36584422,-30584056.8,44309009.42399,NA,1.52452194746633
"2008-01-18",46000070.62399,0.00578131394870907,8872825.62399001,37127245,-30862467.6,44678516.62399,NA,1.53333568746633
"2008-01-21",46194928.42399,0.00423603262683625,10404609.42399,35790319,-29330683.8,45787826.42399,NA,1.53983094746633
"2008-01-22",45679136.62399,-0.0111655503666098,12638245.62399,33040891,-27097047.6,45170974.62399,NA,1.52263788746633
"2008-01-23",46369400.52399,0.0151111415629841,11377160.52399,34992240,-28358132.7,44120003.52399,NA,1.545646684133
"2008-01-24",47092376.12399,0.0155916529398727,11080179.12399,36012197,-28655114.1,45676769.12399,NA,1.56974587079967
"2008-01-25",46799720.92399,-0.0062144921128946,10793947.92399,36005773,-28941345.3,45924871.92399,NA,1.55999069746633
"2008-01-28",46834403.12399,0.000741077068735718,12763560.12399,34070843,-26971733.1,46136580.12399,NA,1.56114677079967
"2008-01-29",46808121.12399,-0.000561168676163404,12591420.12399,34216701,-27143873.1,45834500.12399,NA,1.560270704133
"2008-01-30",46828847.82399,0.00044280136656405,12884576.82399,33944271,-26850716.4,45767253.82399,NA,1.560961594133
"2008-01-31",46350687.52399,-0.0102108064199486,13399007.52399,32951680,-26336285.7,45950739.52399,NA,1.54502291746633
"2008-02-01",45822261.72399,-0.0114006032753343,13675206.72399,32147055,-26060086.5,44251875.72399,0.014285429872289,1.527408724133
"2008-02-04",46057041.31044,0.00512370139789686,6345819.31044001,39711222,-35640892.8,43706463.31044,NA,1.535234710348
"2008-02-05",46320619.31044,0.00572286001229205,6549543.31044001,39771076,-35437168.8,45374719.31044,NA,1.54402064368133
"2008-02-13",46869881.31044,0.011857829367929,7310907.31044,39558974,-34675804.8,45850428.31044,NA,1.56232937701467
"2008-02-14",46822522.71044,-0.00101042713734056,6848897.71044,39973625,-35137814.4,46178238.71044,NA,1.56075075701467
"2008-02-15",46957458.91044,0.00288186522615375,7330872.91044001,39626586,-34655839.2,46011157.91044,NA,1.565248630348
