Code,Name,industry_sw,industry_swcode
000719.SZ,大地传媒,传媒,6.12201E+15
000720.SZ,新能泰山,公用事业,6.116E+15
000721.SZ,西安饮食,休闲服务,6.121E+15
000722.SZ,湖南发展,公用事业,6.116E+15
000723.SZ,美锦能源,采掘,6.102E+15
000725.SZ,京东方A,电子,6.108E+15
000726.SZ,鲁泰A,纺织服装,6.113E+15
000727.SZ,华东科技,电子,6.108E+15
000728.SZ,国元证券,非银金融,1.00001E+15
000729.SZ,燕京啤酒,食品饮料,6.112E+15
000731.SZ,四川美丰,化工,6.103E+15
000732.SZ,泰禾集团,房地产,6.118E+15
000733.SZ,振华科技,电子,6.108E+15
000735.SZ,罗牛山,农林牧渔,6.101E+15
000736.SZ,中房地产,房地产,6.118E+15
000737.SZ,南风化工,化工,6.103E+15
000738.SZ,中航动控,国防军工,1.00001E+15
000739.SZ,普洛药业,医药生物,6.115E+15
000748.SZ,长城信息,计算机,1.00001E+15
000750.SZ,国海证券,非银金融,1.00001E+15
000751.SZ,锌业股份,有色金属,6.105E+15
000752.SZ,西藏发展,食品饮料,6.112E+15
000753.SZ,漳州发展,商业贸易,6.12E+15
000755.SZ,*ST三维,化工,6.103E+15
000756.SZ,新华制药,医药生物,6.115E+15
000757.SZ,浩物股份,汽车,1.00001E+15
000758.SZ,中色股份,有色金属,6.105E+15
000759.SZ,中百集团,商业贸易,6.12E+15
000760.SZ,斯太尔,汽车,1.00001E+15
000761.SZ,本钢板材,钢铁,6.104E+15
000762.SZ,西藏矿业,采掘,6.102E+15
000766.SZ,通化金马,医药生物,6.115E+15
000767.SZ,漳泽电力,公用事业,6.116E+15
000768.SZ,中航飞机,国防军工,1.00001E+15
000776.SZ,广发证券,非银金融,1.00001E+15
000777.SZ,中核科技,机械设备,6.107E+15
000778.SZ,新兴铸管,钢铁,6.104E+15
000779.SZ,*ST派神,纺织服装,6.113E+15
000780.SZ,平庄能源,采掘,6.102E+15
000782.SZ,美达股份,化工,6.103E+15
000783.SZ,长江证券,非银金融,1.00001E+15
000785.SZ,武汉中商,商业贸易,6.12E+15
000786.SZ,北新建材,建筑材料,6.10601E+15
000788.SZ,北大医药,医药生物,6.115E+15
000789.SZ,万年青,建筑材料,6.10601E+15
000790.SZ,华神集团,医药生物,6.115E+15
000791.SZ,甘肃电投,公用事业,6.116E+15
000792.SZ,盐湖股份,化工,6.103E+15
000793.SZ,华闻传媒,传媒,6.12201E+15
000795.SZ,太原刚玉,有色金属,6.105E+15
000796.SZ,易食股份,食品饮料,6.112E+15
000797.SZ,中国武夷,房地产,6.118E+15
000798.SZ,中水渔业,农林牧渔,6.101E+15
000799.SZ,酒鬼酒,食品饮料,6.112E+15
000800.SZ,一汽轿车,汽车,1.00001E+15
000801.SZ,四川九洲,家用电器,6.111E+15
000802.SZ,北京文化,休闲服务,6.121E+15
000803.SZ,金宇车城,房地产,6.118E+15
000806.SZ,银河投资,电气设备,6.10701E+15
000807.SZ,云铝股份,有色金属,6.105E+15
000809.SZ,铁岭新城,房地产,6.118E+15
000810.SZ,创维数字,纺织服装,6.113E+15
000811.SZ,烟台冰轮,机械设备,6.107E+15
000812.SZ,陕西金叶,轻工制造,6.114E+15
000813.SZ,天山纺织,综合,6.123E+15
000815.SZ,美利纸业,轻工制造,6.114E+15
000816.SZ,江淮动力,机械设备,6.107E+15
000818.SZ,方大化工,化工,6.103E+15
000819.SZ,岳阳兴长,化工,6.103E+15
000820.SZ,金城股份,轻工制造,6.114E+15
000821.SZ,京山轻机,机械设备,6.107E+15
000822.SZ,*ST海化,化工,6.103E+15
000823.SZ,超声电子,电子,6.108E+15
000825.SZ,太钢不锈,钢铁,6.104E+15
000826.SZ,桑德环境,公用事业,6.116E+15
000828.SZ,东莞控股,交通运输,6.117E+15
000829.SZ,天音控股,商业贸易,6.12E+15
000830.SZ,鲁西化工,化工,6.103E+15
000831.SZ,五矿稀土,有色金属,6.105E+15
000833.SZ,贵糖股份,轻工制造,6.114E+15
000835.SZ,四川圣达,采掘,6.102E+15
000836.SZ,鑫茂科技,通信,1.00001E+15
000837.SZ,秦川机床,机械设备,6.107E+15
000838.SZ,国兴地产,房地产,6.118E+15
000839.SZ,中信国安,综合,6.123E+15
000848.SZ,承德露露,食品饮料,6.112E+15
000850.SZ,华茂股份,纺织服装,6.113E+15
000851.SZ,高鸿股份,通信,1.00001E+15
000852.SZ,江钻股份,机械设备,6.107E+15
000856.SZ,冀东装备,机械设备,6.107E+15
000858.SZ,五粮液,食品饮料,6.112E+15
000859.SZ,国风塑业,化工,6.103E+15
000860.SZ,顺鑫农业,农林牧渔,6.101E+15
000861.SZ,海印股份,商业贸易,6.12E+15
000862.SZ,银星能源,电气设备,6.10701E+15
000863.SZ,三湘股份,房地产,6.118E+15
000868.SZ,安凯客车,汽车,1.00001E+15
000869.SZ,张裕A,食品饮料,6.112E+15
000875.SZ,吉电股份,公用事业,6.116E+15
000876.SZ,新希望,农林牧渔,6.101E+15
000877.SZ,天山股份,建筑材料,6.10601E+15
000878.SZ,云南铜业,有色金属,6.105E+15
000880.SZ,潍柴重机,机械设备,6.107E+15
000881.SZ,大连国际,综合,6.123E+15
000882.SZ,华联股份,商业贸易,6.12E+15
000883.SZ,湖北能源,公用事业,6.116E+15
000885.SZ,同力水泥,建筑材料,6.10601E+15
000886.SZ,海南高速,房地产,6.118E+15
000887.SZ,中鼎股份,汽车,1.00001E+15
000888.SZ,峨眉山A,休闲服务,6.121E+15
000889.SZ,茂业物流,商业贸易,6.12E+15
000890.SZ,法尔胜,机械设备,6.107E+15
000892.SZ,星美联合,综合,6.123E+15
000893.SZ,东凌粮油,农林牧渔,6.101E+15
000895.SZ,双汇发展,食品饮料,6.112E+15
000897.SZ,津滨发展,房地产,6.118E+15
000898.SZ,鞍钢股份,钢铁,6.104E+15
000899.SZ,赣能股份,公用事业,6.116E+15
000900.SZ,现代投资,交通运输,6.117E+15
000901.SZ,航天科技,机械设备,6.107E+15
000902.SZ,新洋丰,纺织服装,6.113E+15
000903.SZ,云内动力,汽车,1.00001E+15
000905.SZ,厦门港务,交通运输,6.117E+15
000906.SZ,物产中拓,钢铁,6.104E+15
000908.SZ,天一科技,机械设备,6.107E+15
000909.SZ,数源科技,房地产,6.118E+15
000910.SZ,大亚科技,轻工制造,6.114E+15
000911.SZ,南宁糖业,农林牧渔,6.101E+15
000912.SZ,泸天化,化工,6.103E+15
000913.SZ,钱江摩托,汽车,1.00001E+15
000915.SZ,山大华特,医药生物,6.115E+15
000916.SZ,华北高速,交通运输,6.117E+15
000917.SZ,电广传媒,传媒,6.12201E+15
000918.SZ,嘉凯城,房地产,6.118E+15
000919.SZ,金陵药业,医药生物,6.115E+15
000920.SZ,南方汇通,机械设备,6.107E+15
000921.SZ,海信科龙,家用电器,6.111E+15
000922.SZ,佳电股份,电气设备,6.10701E+15
000923.SZ,河北宣工,机械设备,6.107E+15
000925.SZ,众合机电,公用事业,6.116E+15
000926.SZ,福星股份,房地产,6.118E+15
000927.SZ,一汽夏利,汽车,1.00001E+15
000928.SZ,中钢国际,有色金属,6.105E+15
000929.SZ,兰州黄河,食品饮料,6.112E+15
000930.SZ,中粮生化,农林牧渔,6.101E+15
