Code,Name
600062.SH,华润双鹤
600064.SH,南京高科
600066.SH,宇通客车
600067.SH,冠城大通
600068.SH,葛洲坝
600073.SH,上海梅林
600078.SH,澄星股份
600079.SH,人福医药
600085.SH,同仁堂
600086.SH,东方金钰
600088.SH,中视传媒
600089.SH,特变电工
600100.SH,同方股份
600104.SH,上汽集团
600108.SH,亚盛集团
600109.SH,国金证券
600110.SH,中科英华
600111.SH,包钢稀土
600112.SH,天成控股
600115.SH,东方航空
600118.SH,中国卫星
600120.SH,浙江东方
600122.SH,宏图高科
600125.SH,铁龙物流
600132.SH,重庆啤酒
600138.SH,中青旅
600141.SH,兴发集团
600143.SH,金发科技
600150.SH,中国船舶
600151.SH,航天机电
600153.SH,建发股份
600157.SH,永泰能源
600158.SH,中体产业
600160.SH,巨化股份
600161.SH,天坛生物
600162.SH,香江控股
600166.SH,福田汽车
600169.SH,太原重工
600170.SH,上海建工
600171.SH,上海贝岭
600175.SH,美都能源
600176.SH,中国玻纤
600177.SH,雅戈尔
600180.SH,瑞茂通
600183.SH,生益科技
600184.SH,光电股份
600187.SH,国中水务
600188.SH,兖州煤业
600195.SH,中牧股份
600196.SH,复星医药
600197.SH,伊力特
600198.SH,大唐电信
600199.SH,金种子酒
600200.SH,江苏吴中
600201.SH,金宇集团
600208.SH,新湖中宝
600216.SH,浙江医药
600219.SH,南山铝业
600220.SH,江苏阳光
600221.SH,海南航空
600239.SH,云南城投
600240.SH,华业地产
600251.SH,冠农股份
600252.SH,中恒集团
600256.SH,广汇能源
600259.SH,广晟有色
600260.SH,凯乐科技
600261.SH,阳光照明
600266.SH,北京城建
600267.SH,海正药业
600270.SH,外运发展
600271.SH,航天信息
600276.SH,恒瑞医药
600277.SH,亿利能源
600280.SH,中央商场
600284.SH,浦东建设
600289.SH,亿阳信通
600292.SH,中电远达
600298.SH,安琪酵母
600300.SH,维维股份
600309.SH,万华化学
600312.SH,平高电气
600315.SH,上海家化
600316.SH,洪都航空
600320.SH,振华重工
600325.SH,华发股份
600329.SH,中新药业
600332.SH,白云山
600333.SH,长春燃气
600335.SH,国机汽车
600337.SH,美克家居
600340.SH,华夏幸福
600348.SH,阳泉煤业
600351.SH,亚宝药业
600352.SH,浙江龙盛
600362.SH,江西铜业
600366.SH,宁波韵升
600369.SH,西南证券
600372.SH,中航电子
600376.SH,首开股份
600380.SH,健康元
600383.SH,金地集团
600387.SH,海越股份
600389.SH,江山股份
600392.SH,盛和资源
600395.SH,盘江股份
600397.SH,安源煤业
600398.SH,海澜之家
600401.SH,海润光伏
600406.SH,国电南瑞
600409.SH,三友化工
600410.SH,华胜天成
600415.SH,小商品城
600416.SH,湘电股份
600418.SH,江淮汽车
600422.SH,昆明制药
600425.SH,青松建化
600426.SH,华鲁恒升
600428.SH,中远航运
600429.SH,三元股份
600432.SH,吉恩镍业
600435.SH,北方导航
600436.SH,片仔癀
600438.SH,通威股份
600439.SH,瑞贝卡
600456.SH,宝钛股份
600458.SH,时代新材
600460.SH,士兰微
600467.SH,好当家
600468.SH,百利电气
600478.SH,科力远
600481.SH,双良节能
600482.SH,风帆股份
600487.SH,亨通光电
600488.SH,天药股份
600489.SH,中金黄金
600490.SH,鹏欣资源
600496.SH,精工钢构
600497.SH,驰宏锌锗
600498.SH,烽火通信
600507.SH,方大特钢
600509.SH,天富能源
600510.SH,黑牡丹
600511.SH,国药股份
600516.SH,方大炭素
600517.SH,置信电气
600518.SH,康美药业
600519.SH,贵州茅台
600521.SH,华海药业
600522.SH,中天科技
600525.SH,长园集团
600528.SH,中铁二局
600535.SH,天士力
600536.SH,中国软件
600537.SH,亿晶光电
600545.SH,新疆城建
600546.SH,山煤国际
600547.SH,山东黄金
600549.SH,厦门钨业
600551.SH,时代出版
600557.SH,康缘药业
600563.SH,法拉电子
600570.SH,恒生电子
600572.SH,康恩贝
600575.SH,皖江物流
600580.SH,卧龙电气
600582.SH,天地科技
600583.SH,海油工程
600584.SH,长电科技
600585.SH,海螺水泥
600586.SH,金晶科技
600587.SH,新华医疗
600588.SH,用友软件
600596.SH,新安股份
600597.SH,光明乳业
600600.SH,青岛啤酒
600601.SH,方正科技
600611.SH,大众交通
600612.SH,老凤祥
600614.SH,鼎立股份
600616.SH,金枫酒业
600618.SH,氯碱化工
600628.SH,新世界
600633.SH,浙报传媒
600635.SH,大众公用
600636.SH,三爱富
600637.SH,百视通
600639.SH,浦东金桥
600640.SH,号百控股
600642.SH,申能股份
600643.SH,爱建股份
600645.SH,中源协和
600648.SH,外高桥
600649.SH,城投控股
600651.SH,飞乐音响
600654.SH,飞乐股份
600655.SH,豫园商城
600657.SH,信达地产
600660.SH,福耀玻璃
600663.SH,陆家嘴
600664.SH,哈药股份
600673.SH,东阳光科
600674.SH,川投能源
600675.SH,中华企业
600685.SH,广船国际
600688.SH,上海石化
600690.SH,青岛海尔
600694.SH,大商股份
600699.SH,均胜电子
600702.SH,沱牌舍得
600703.SH,三安光电
600704.SH,物产中大
600705.SH,中航资本
600718.SH,东软集团
600720.SH,祁连山
600729.SH,重庆百货
600736.SH,苏州高新
600737.SH,中粮屯河
600739.SH,辽宁成大
600740.SH,山西焦化
600741.SH,华域汽车
600743.SH,华远地产
600747.SH,大连控股
600748.SH,上实发展
600750.SH,江中药业
600754.SH,锦江股份
600755.SH,厦门国贸
600757.SH,长江传媒
600759.SH,洲际油气
600761.SH,安徽合力
600765.SH,中航重机
600770.SH,综艺股份
600773.SH,西藏城投
600776.SH,东方通信
600780.SH,通宝能源
600783.SH,鲁信创投
600787.SH,中储股份
600790.SH,轻纺城
600795.SH,国电电力
600797.SH,浙大网新
600801.SH,华新水泥
600803.SH,威远生化
600804.SH,鹏博士
600805.SH,悦达投资
600809.SH,山西汾酒
600811.SH,东方集团
600812.SH,华北制药
600816.SH,安信信托
600820.SH,隧道股份
600823.SH,世茂股份
600825.SH,新华传媒
600826.SH,兰生股份
600827.SH,百联股份
600830.SH,香溢融通
600831.SH,广电网络
600832.SH,东方明珠
600835.SH,上海机电
600837.SH,海通证券
600839.SH,四川长虹
600844.SH,丹化科技
600850.SH,华东电脑
600851.SH,海欣股份
600859.SH,王府井
600863.SH,内蒙华电
600864.SH,哈投股份
600867.SH,通化东宝
600869.SH,智慧能源
600872.SH,中炬高新
600873.SH,梅花生物
600874.SH,创业环保
600875.SH,东方电气
600879.SH,航天电子
600880.SH,博瑞传播
600881.SH,亚泰集团
600884.SH,杉杉股份
600885.SH,宏发股份
600886.SH,国投电力
600887.SH,伊利股份
600893.SH,航空动力
600894.SH,广日股份
600895.SH,张江高科
600900.SH,长江电力
600967.SH,北方创业
600970.SH,中材国际
600971.SH,恒源煤电
600978.SH,宜华木业
600983.SH,惠而浦
600993.SH,马应龙
600997.SH,开滦股份
600998.SH,九州通
600999.SH,招商证券
601000.SH,唐山港
601002.SH,晋亿实业
601006.SH,大秦铁路
601009.SH,南京银行
601010.SH,文峰股份
601011.SH,宝泰隆
601012.SH,隆基股份
601018.SH,宁波港
601088.SH,中国神华
601098.SH,中南传媒
601099.SH,太平洋
601101.SH,昊华能源
601111.SH,中国国航
601117.SH,中国化学
601118.SH,海南橡胶
601126.SH,四方股份
601158.SH,重庆水务
601166.SH,兴业银行
601168.SH,西部矿业
601169.SH,北京银行
601179.SH,中国西电
601186.SH,中国铁建
601208.SH,东材科技
601216.SH,内蒙君正
601225.SH,陕西煤业
601231.SH,环旭电子
601233.SH,桐昆股份
601258.SH,庞大集团
601288.SH,农业银行
601299.SH,中国北车
601311.SH,骆驼股份
601318.SH,中国平安
601328.SH,交通银行
601333.SH,广深铁路
601336.SH,新华保险
601369.SH,陕鼓动力
601377.SH,兴业证券
601388.SH,怡球资源
601390.SH,中国中铁
601398.SH,工商银行
601515.SH,东风股份
601519.SH,大智慧
601555.SH,东吴证券
601566.SH,九牧王
601600.SH,中国铝业
601601.SH,中国太保
601607.SH,上海医药
601608.SH,中信重工
601618.SH,中国中冶
601628.SH,中国人寿
601633.SH,长城汽车
601666.SH,平煤股份
601668.SH,中国建筑
601669.SH,中国电建
601678.SH,滨化股份
601688.SH,华泰证券
601699.SH,潞安环能
601717.SH,郑煤机
601718.SH,际华集团
601766.SH,中国南车
601777.SH,力帆股份
601800.SH,中国交建
601801.SH,皖新传媒
601808.SH,中海油服
601818.SH,光大银行
601857.SH,中国石油
601866.SH,中海集运
601880.SH,大连港
601886.SH,江河创建
601888.SH,中国国旅
601898.SH,中煤能源
601899.SH,紫金矿业
601901.SH,方正证券
601908.SH,京运通
601928.SH,凤凰传媒
601929.SH,吉视传媒
601933.SH,永辉超市
601939.SH,建设银行
601958.SH,金钼股份
601965.SH,中国汽研
601988.SH,中国银行
601989.SH,中国重工
601992.SH,金隅股份
601998.SH,中信银行
601999.SH,出版传媒
603000.SH,人民网
603001.SH,奥康国际
603077.SH,和邦股份
603366.SH,日出东方
603555.SH,贵人鸟
603699.SH,纽威股份
603766.SH,隆鑫通用
603993.SH,洛阳钼业
000062.SZ,深圳华强
000519.SZ,江南红箭
000555.SZ,神州信息
000661.SZ,长春高新
000681.SZ,视觉中国
000748.SZ,长城信息
000825.SZ,太钢不锈
000898.SZ,鞍钢股份
000959.SZ,首钢股份
002030.SZ,达安基因
002174.SZ,游族网络
002240.SZ,威华股份
002299.SZ,圣农发展
002390.SZ,信邦制药
002505.SZ,大康牧业
002665.SZ,首航节能
002727.SZ,一心堂
300015.SZ,爱尔眼科
300017.SZ,网宿科技
300024.SZ,机器人
300027.SZ,华谊兄弟
300039.SZ,上海凯宝
300058.SZ,蓝色光标
300059.SZ,东方财富
300070.SZ,碧水源
300088.SZ,长信科技
300115.SZ,长盈精密
300124.SZ,汇川技术
300133.SZ,华策影视
300134.SZ,大富科技
300144.SZ,宋城演艺
300146.SZ,汤臣倍健
300147.SZ,香雪制药
300168.SZ,万达信息
300202.SZ,聚龙股份
300251.SZ,光线传媒
300253.SZ,卫宁软件
300273.SZ,和佳股份
600098.SH,广州发展
600317.SH,营口港
600373.SH,中文传媒
600433.SH,冠豪高新
600485.SH,信威集团
600499.SH,科达洁能
600578.SH,京能电力
601001.SH,大同煤业
601727.SH,上海电气
601872.SH,招商轮船
603005.SH,晶方科技
603288.SH,海天味业
603328.SH,依顿电子
603369.SH,今世缘
