datetime,trade_code,name,class,reason
2015-03-17,300141.SZ,和顺电气,停牌一天,重大资产重组
2015-03-17,300144.SZ,宋城演艺,停牌一天,重大资产重组
2015-03-17,300159.SZ,新研股份,停牌一天,重大资产重组
2015-03-17,300168.SZ,万达信息,停牌一天,重大事项
2015-03-17,300174.SZ,元力股份,停牌一天,重大事项
2015-03-17,300175.SZ,朗源股份,停牌一天,重大事项
2015-03-17,300181.SZ,佐力药业,停牌一天,重大事项
2015-03-17,300184.SZ,力源信息,停牌一天,重大资产重组
2015-03-17,300186.SZ,大华农,停牌一天,拟披露重大事项
2015-03-17,300192.SZ,科斯伍德,停牌一天,重大资产重组
2015-03-17,300194.SZ,福安药业,停牌一天,拟披露重大事项
2015-03-17,300201.SZ,海伦哲,停牌一天,重大资产重组
2015-03-17,300213.SZ,佳讯飞鸿,停牌一天,重大资产重组
2015-03-17,300218.SZ,安利股份,停牌一天,重大事项
2015-03-17,300222.SZ,科大智能,停牌一天,重大资产重组
2015-03-17,300233.SZ,金城医药,停牌一天,重大资产重组
2015-03-17,300234.SZ,开尔新材,停牌一天,重大事项
2015-03-17,300241.SZ,瑞丰光电,停牌一天,筹划发行股份购买资产
2015-03-17,300242.SZ,明家科技,停牌一天,重大资产重组
2015-03-17,300243.SZ,瑞丰高材,停牌一天,拟披露重大事项
2015-03-17,300269.SZ,联建光电,停牌一天,拟披露重大事项
2015-03-17,300271.SZ,华宇软件,停牌一天,重大事项
2015-03-17,300288.SZ,朗玛信息,停牌一天,重大事项
2015-03-17,300299.SZ,富春通信,停牌一天,拟披露重大事项
2015-03-17,300316.SZ,晶盛机电,停牌一天,拟披露重大事项
2015-03-17,300322.SZ,硕贝德,停牌一天,重大资产重组
2015-03-17,300329.SZ,海伦钢琴,停牌一天,重大事项
2015-03-17,300339.SZ,润和软件,停牌一天,重大资产重组
2015-03-17,300348.SZ,长亮科技,停牌一天,重大资产重组
2015-03-17,300351.SZ,永贵电器,停牌一天,拟披露重大事项
